DOI,Title,Author,Journal,Publication Year,Abstract Note,LitmapsId,Cited By,References,PubMedId
10.1111/SJOP.12184,Action orientation overcomes the ego depletion effect.,"Junhua Dang, Shanshan Xiao, Yucai Shi, L. Mao,",Scandinavian journal of psychology,2015,"It has been consistently demonstrated that initial exertion of self-control had negative influence on people's performance on subsequent self-control tasks. This phenomenon is referred to as the ego depletion effect. Based on action control theory, the current research investigated whether the ego depletion effect could be moderated by individuals' action versus state orientation. Our results showed that only state-oriented individuals exhibited ego depletion. For individuals with action orientation, however, their performance was not influenced by initial exertion of self-control. The beneficial effect of action orientation against ego depletion in our experiment results from its facilitation for adapting to the depleting task.",107515853,18,33,25491068
10.1016/J.PSYCHSPORT.2018.07.010,A daily diary approach to investigate the effect of ego depletion on intentions and next day behavior,"Amanda L. Rebar, James A. Dimmock, Ryan E. Rhodes, Ben Jackson,",Psychology of Sport and Exercise,2018,"Objectives  Ego depletion impairs physical and cognitive capacities, but its effects on daily intentions and behavior remain unclear. This study provides insight into relationships between ego depletion, intentions, and exercise, leisure sitting and other non-activity related behaviors.    Design  The study involved repeated assessment using a daily diary.    Method  Australian university students (Nâ€¯=â€¯103, 52% female, M ageâ€¯=â€¯22 years) self-reported end-of-day ego depletion, decisional intentions, and behavior for time spent exercising, in leisure-time sitting, doing paid work, sleeping, studying, housework, and the amount of alcohol consumed across seven days.    Results  When people were more ego depleted at the time of reporting intentions, they intended to exercise for less time the next day than when people were less ego depleted. However, if people were highly ego depleted when reporting exercise intentions for the next day, they were subsequently more likely to reach those intentions. There were no significant effects of ego depletion on intentions or on the likelihood of achieving intentions for any behavior other than exercise.    Conclusions  Given that the effects of ego depletion on intentions and behavior were seen for exercise but not other daily behaviors, it may be that ego depletion only impacts intentions to engage in physically effortful behavior. Future research is needed to test replicability of the effects. Interventions may consider accounting for ego depletion in efforts to enhance behavioral intentions; however, the findings also highlight the importance of keeping behavior change (as opposed to change in intentions) as the main outcome focus.",60542445,15,43,
10.1002/EJSP.2120,A depleted mind feels inefficacious: Ego-depletion reduces self-efficacy to exert further self-control,"Jason T. Chow, C. Hui, S. Lau,",(missing journal),2015,"Recent research has found that ego-depletion undermines self-control by motivating cognition that justifies conservation of mental resource. One potential cognitive mechanism is reduction of self-efficacy. Specifically, we propose that ego-depletion might demotivate self-control by making people believe that they are inefficacious in exerting self-control in subsequent tasks. Three experiments support the proposal. First, we demonstrated that (a) ego-depletion can reduce self-efficacy to exert further control (Experiments 1 to 3) and (b) the temporary reduction of self-efficacy mediates the effect of depletion on self-control performance (Experiment 2). Finally, we found that (c) these effects are only observed among participants who endorse a limited (versus non-limited) theory of willpower and are, hence, more motivated to conserve mental resources (Experiment 3). Taken together, the present findings show that decrease in self-efficacy to exert further self-control is an important cognitive process that explains how ego-depletion demotivates self-control. This research also contributes to the recent discussion of the psychological processes underlying ego-depletion.",93432340,48,76,
10.1186/2050-7283-1-22,"After a pair of self-control-intensive tasks, sucrose swishing improves subsequent working memory performance","Evan C. Carter, Michael E. McCullough,",BMC Psychology,2013,"The limited strength model of self-control predicts that acts of self-control impair subsequent performance on tasks that require self-control (i.e., â€œego depletionâ€), and the majority of the published research on this topic is supportive of this prediction. Additional research suggests that this effect can be alleviated by manipulating participantsâ€™ motivation to performâ€”for instance, by having participants swish a drink containing carbohydrates, which is thought to function as a rewardâ€”or by requiring participants to complete two initial acts of self-control rather than only one. Here, we explore both the effect of having participants perform two initial tasks thought to require self-control (versus two less self-control-intensive tasks) and the effect of swishing a drink containing sucrose (compared to control drinks) on subsequent self-control. Outcomes were analyzed using standard null hypothesis significance testing techniques (e.g., analysis of variance, t-tests). In some cases, test statistics were transformed into Bayes factors to aid in interpretation (i.e., to allow for acceptance of the null hypothesis). We found that performing two self-control-intensive tasks actually improved subsequent self-control when participants swished a drink containing sucrose between tasks. For participants who swished control drinks, we found no evidence of ego depletion. We conclude that claims that self-control failure is caused by the depletion of a resource (or that it functions as if it relies on a limited resource) merit greater circumspection. Our resultsâ€”all of which were either null or contrary to predictions from the limited strength modelâ€”are important for researchers interested in patterns of self-control failure.",188572842,34,44,25566371
10.3389/FNHUM.2021.658890,"Again, No Evidence for or Against the Existence of Ego Depletion: Opinion on A Multi-Site Preregistered Paradigmatic Test of the Ego Depletion Effect","C. Englert, A. Bertrams,",Frontiers in Human Neuroscience,2021,"Concluding Remarks
We would like to point out that we are not picking a side as to whether ego depletion exists or not; that is not the aim of this opinion article. The goal is to outline the necessity to properly operationalize the central constructs of a theoretical model in order to test its validity, and we strongly believe that this was not achieved in Vohs et al.'s (2021) multi-site study. In a recent meta-analysis, Dang (2018) reported the effect sizes for the most commonly used ego depletion tasks, and we would encourage future replication efforts to choose appropriate self-control tasks based on empirical evidence. We agree with Nelson et al. (2018) that a critical methodological reflection of traditional and current research practices can lead to “psychology's renaissance” (p. 511). We also agree with Popper (1963) that “the criterion of the scientific status of a theory is its falsifiability, or refutability, or testability” (p. 33), meaning that as researchers, it is our obligation to test the validity of theoretical models over and over again in order to increase trust in their robustness, especially given the recent replication crisis in psychological science. However, in order to test a model's validity, valid procedures need to be applied. In our eyes, this was not the case in Vohs et al.'s (2021) new multi-site project.",175835432,11,49,34025377
10.1177/1745691616652873,A Multilab Preregistered Replication of the Ego-Depletion Effect,"M. Hagger, N. Chatzisarantis, H. Alberts, C. O. Anggono, C. Batailler, A. Birt, R. Brand, M. Brandt, G. Brewer, S. Bruyneel, D. Calvillo, W. K. Campbell, P. Cannon, M. Carlucci, N. Carruth, T. Cheung, A. Crowell, D. D. de Ridder, S. Dewitte, M. Elson, J. R. Evans, B. Fay, B. Fennis, A. Finley, Z. Francis, E. Heise, H. Hoemann, M. Inzlicht, S. Koole, L. Koppel, F. Kroese, F. Lange, K. Lau, B. P. Lynch, C. Martijn, H. Merckelbach, N. V. Mills, A. Michirev, A. Miyake, A. Mosser, M. Muise, D. Muller, M. Muzi, D. Nalis, R. Nurwanti, H. Otgaar, M. Philipp, P. Primoceri, K. Rentzsch, L. Ringos, C. Schlinkert, B. Schmeichel, S. Schoch, M. Schrama, A. SchÃ¼tz, A. Stamos, G. TinghÃ¶g, J. Ullrich, M. vanDellen, S. Wimbarti, W. Wolff, C. Yusainy, O. Zerhouni, M. Zwienenberg,",Perspectives on psychological science : a journal of the Association for Psychological Science,2016,"Good self-control has been linked to adaptive outcomes such as better health, cohesive personal relationships, success in the workplace and at school, and less susceptibility to crime and addictions. In contrast, self-control failure is linked to maladaptive outcomes. Understanding the mechanisms by which self-control predicts behavior may assist in promoting better regulation and outcomes. A popular approach to understanding self-control is the strength or resource depletion model. Self-control is conceptualized as a limited resource that becomes depleted after a period of exertion resulting in self-control failure. The model has typically been tested using a sequential-task experimental paradigm, in which people completing an initial self-control task have reduced self-control capacity and poorer performance on a subsequent task, a state known as ego depletion. Although a meta-analysis of ego-depletion experiments found a medium-sized effect, subsequent meta-analyses have questioned the size and existence of the effect and identified instances of possible bias. The analyses served as a catalyst for the current Registered Replication Report of the ego-depletion effect. Multiple laboratories (k = 23, total N = 2,141) conducted replications of a standardized ego-depletion protocol based on a sequential-task paradigm by Sripada et al. Meta-analysis of the studies revealed that the size of the ego-depletion effect was small with 95% confidence intervals (CIs) that encompassed zero (d = 0.04, 95% CI [âˆ’0.07, 0.15]. We discuss implications of the findings for the ego-depletion effect and the resource depletion model of self-control.",39389714,708,53,27474142
10.1177/1948550619887702,A Multilab Replication of the Ego Depletion Effect.,"Junhua Dang, Paul Barker, Anna Baumert, Margriet Bentvelzen, Elliot T. Berkman, Nita Buchholz, Jacek Buczny, Zhansheng Chen, Valeria De Cristofaro, Lianne P. de Vries, Siegfried Dewitte, Mauro Giacomantonio, Ran Gong, Maaike D. Homan, Roland Imhoff, Ismaharif Ismail, Lile Jia, Thomas Kubiak, Florian Lange, Dan Yang Li, Jordan L. Livingston, Rita M. Ludwig, Angelo Panno, Joshua Pearman, Niklas Rassi, Helgi B. SchiÃ¶th, Manfred Schmitt, A. Timur Sevincer, Jiaxin Shi, Angelos Stamos, Yia Chin Tan, Mario Wenzel, Oulmann Zerhouni, Li Wei Zhang, Yi Jia Zhang, Axel Zinkernagel,",Social Psychological and Personality Science,2021,"There is an active debate regarding whether the ego depletion effect is real. A recent preregistered experiment with the Stroop task as the depleting task and the antisaccade task as the outcome task found a medium-level effect size. In the current research, we conducted a preregistered multilab replication of that experiment. Data from 12 labs across the globe (N = 1,775) revealed a small and significant ego depletion effect, d = 0.10. After excluding participants who might have responded randomly during the outcome task, the effect size increased to d = 0.16. By adding an informative, unbiased data point to the literature, our findings contribute to clarifying the existence, size, and generality of ego depletion.",88910739,67,32,34113424
10.1177/0956797621989733,A Multisite Preregistered Paradigmatic Test of the Ego-Depletion Effect:,"Kathleen D. Vohs, Brandon J. Schmeichel, Sophie Lohmann, Quentin Frederik Gronau, Anna J Finley, Sarah E. Ainsworth, Jessica L. Alquist, Michael D. Baker, Ambra Brizi, Angelica Bunyi, Grant J. Butschek, Collier Campbell, Jonathan Capaldi, Chuting Cau, Heather Chambers, Nikos L. D. Chatzisarantis, Weston J. Christensen, Samuel L. Clay, Jessica Curtis, Valeria De Cristofaro, Kareena del Rosario, Katharina Diel, Yasemin DoÄŸruol, Megan Doi, Tina L. Donaldson, Andreas B. Eder, Mia Ersoff, Julie Eyink, Angelica Falkenstein, Bob M. Fennis, Matthew B. Findley, Eli J. Finkel, Victoria Forgea, Malte Friese, Paul T. Fuglestad, Natasha E. Garcia-Willingham, Lea F. Geraedts, Will M. Gervais, Mauro Giacomantonio, Bryan Gibson, Karolin Gieseler, Justina Gineikiene, Elana M. Gloger, Carina M. Gobes, Maria Grande, Martin S. Hagger, Bethany Hartsell, Anthony D. Hermann, Jasper J. Hidding, Edward R. Hirt, Josh Hodge, Wilhelm Hofmann, Jennifer L. Howell, Robert D. Hutton, Michael Inzlicht, Lily James, Emily Johnson, Hannah L. Johnson, Sarah Joyce, Yannick Joye, Jan Helge Kaben, Lara K. Kammrath, Caitlin N. Kelly, Brian L. Kissell, Sander L. Koole, Anand Krishna, Christine Lam, Kelemen T. Lee, Nick Lee, Dana C. Leighton, David D. Loschelder, Heather M. Maranges, E. J. Masicampo, Kennedy Mazara, Samantha McCarthy, Ian McGregor, Nicole L. Mead, Wendy Berry Mendes, Carine Meslot, Nicholas M. Michalak, Marina Milyavskaya, Akira Miyake, Mehrad Moeini-Jazani, Mark Muraven, Erin Nakahara, Krishna Patel, John V. Petrocelli, Katja M. Pollak, Mindi Price, Haley J. Ramsey, Maximilian Rath, Jacob A. Robertson, Rachael Rockwell, Isabella F. Russ, Marco Salvati, Blair Saunders, Anne Scherer, Astrid SchÃ¼tz, Kristin N. Schmitt, Suzanne C. Segerstrom,",Psychological Science,2021,"We conducted a preregistered multilaboratory project (k = 36; N = 3,531) to assess the size and robustness of ego-depletion effects using a novel replication method, termed the paradigmatic replication approach. Each laboratory implemented one of two procedures that was intended to manipulate self-control and tested performance on a subsequent measure of self-control. Confirmatory tests found a nonsignificant result (d = 0.06). Confirmatory Bayesian meta-analyses using an informed-prior hypothesis (Î´ = 0.30, SD = 0.15) found that the data were 4 times more likely under the null than the alternative hypothesis. Hence, preregistered analyses did not find evidence for a depletion effect. Exploratory analyses on the full sample (i.e., ignoring exclusion criteria) found a statistically significant effect (d = 0.08); Bayesian analyses showed that the data were about equally likely under the null and informed-prior hypotheses. Exploratory moderator tests suggested that the depletion effect was larger for participants who reported more fatigue but was not moderated by trait self-control, willpower beliefs, or action orientation.",143768477,59,41,34520296
10.1007/S00426-017-0862-X,An updated meta-analysis of the ego depletion effect,"Junhua Dang,",Psychological Research-psychologische Forschung,2018,"The ego depletion effect is one of the most famous phenomena in social psychology. A recent meta-analysis showed that after accounting for small-studies effects by using a newly developed method called PET-PEESE, the ego depletion effect was indistinguishable from zero. However, it is too early to draw such rushing conclusion because of the inappropriate usage of PET-PEESE. The current paper reported a stricter and updated meta-analysis of ego depletion by carefully inspecting problems in the previous meta-analysis, including new studies not covered by it, and testing the effectiveness of each depleting task. The results suggest that attention video should be an ineffective depleting task, whereas emotion video should be the most effective one. Future studies are needed to confirm the effectiveness of each depletion task revealed by the current meta-analysis.",102676766,103,19,28391367
10.1037/XGE0000083,A series of meta-analytic tests of the depletion effect: Self-control does not seem to rely on a limited resource.,"Evan C. Carter, Lilly M Kofler, Daniel E Forster, M. McCullough,",Journal of experimental psychology. General,2015,"Failures of self-control are thought to underlie various important behaviors (e.g., addiction, violence, obesity, poor academic achievement). The modern conceptualization of self-control failure has been heavily influenced by the idea that self-control functions as if it relied upon a limited physiological or cognitive resource. This view of self-control has inspired hundreds of experiments designed to test the prediction that acts of self-control are more likely to fail when they follow previous acts of self-control (the depletion effect). Here, we evaluated the empirical evidence for this effect with a series of focused, meta-analytic tests that address the limitations in prior appraisals of the evidence. We find very little evidence that the depletion effect is a real phenomenon, at least when assessed with the methods most frequently used in the laboratory. Our results strongly challenge the idea that self-control functions as if it relies on a limited psychological or physical resource.",135608956,424,137,26076043
