Title,Author,Publication Year,Abstract Note
A Bayesian Model-Averaged Meta-Analysis of the Power Pose Effect with Informed and Default Priors: The Case of Felt Power,"Quentin Frederik Gronau, Sara van Erp, Daniel W. Heck, Joseph Cesario, Kai Jonas, Eric-Jan Wagenmakers",2017,"Carney, Cuddy, and Yap (2010) found that --compared to participants who adopted constrictive body postures-- participants who adopted expansive body postures reported feeling more powerful, showed an increase in testosterone and a decrease in cortisol, and displayed anincreased tolerance for risk. However, these power pose effects have recently come under considerable scrutiny. Here we present a Bayesian meta-analysis of six preregistered studies from this special issue, focusing on the effect of power posing on felt power. Our analysisimproves on standard classical meta-analyses in several ways. First and foremost, we considered only preregistered studies, eliminating concerns about publication bias. Second, the Bayesian approach enables us to quantify evidence for both the alternative and the null hypothesis. Third, we use Bayesian model-averaging to account for the uncertainty with respect to the choice for a fixed-effect model or a random-effect model. Fourth, based on a literature review we obtained an empirically informed prior distribution for the between-studyheterogeneity of effect sizes. This empirically informed prior can serve as a default choice not only for the investigation of the power pose effect, but for effects in the field of psychology more generally. For effect size, we considered a default and an informed prior. Our meta-analysis yields very strong evidence for an effect of power posing on felt power. However, when the analysis is restricted to participants unfamiliar with the effect, the meta-analysis yields evidence that is only moderate."
A Meta-Analysis of the Facial Feedback Literature: Effects of Facial Expressions on Emotional Experience are Small and Variable,Nicholas A. Coles,2018,"The facial feedback hypothesis suggests that our facial expressions influence our emotional experience. In light of Wagenmakers et al.’s (2016) failure to replicate Strack, Martin, and Stepper’s (1988) seminal demonstration of facial feedback effects, a meta-analysis was conducted on 286 effect sizes derived from 136 facial feedback studies. Results revealed that the overall effect of facial feedback on affective experience was significant, but small (d = .20, p < .000000005). Approximately 70% of variation in facial feedback effect sizes is due to heterogeneity, which suggests that facial feedback effects are stronger in some circumstances than others. Eleven potential moderators were examined, and three were associated with differences in effect sizes: (1) Type of affective reaction: Facial feedback influenced emotional experience (e.g., reported amusement) and, to an even greater degree, perceptions of stimuli’s affective quality (e.g., funniness of cartoons). However, after controlling for publication bias, there was little evidence that facial feedback influenced perceptions of affective quality. (2) Presence of emotional stimuli: Facial feedback effects on emotional experience were larger in the absence of emotionally evocative stimuli (e.g., cartoons). (3) Type of stimuli: When participants are presented with emotionally evocative stimuli, facial feedback effects were larger in the presence of some types of stimuli (e.g., imagined scenarios) than others (e.g., pictures)."
A randomized controlled study of power posing before public speaking exposure for social anxiety disorder: No evidence for augmentative effects.,"Michelle L. Davis, Santiago Papini, David Rosenfield, Karin Roelofs, Sarah Kolb, Mark B. Powers, Jasper A. J. Smits",2017,"This manuscript details a randomized controlled study designed to test the efficacy of power posing (i.e., briefly holding postures associated with dominance and power) as an augmentative strategy for exposure therapy for social anxiety disorder (SAD). Seventy-three individuals diagnosed with SAD were assigned to one of three conditions: power posing, submissive posing, or rest (no posing) prior to participating in an exposure therapy session. Participants were assessed for between-group differences in pre- and post-manipulation salivary hormone levels, within-session subjective experiences of fear, and pre- and 1-week post-treatment SAD severity outcome measures. Though the intervention resulted in decreased SAD symptom severity one week later, analyses revealed no significant between-group differences on any tested variables. Accordingly, this study provides no evidence to suggest that power posing impacts hormone levels or exposure therapy outcomes."
Assessing the Robustness of Power Posing,"Eva Ranehill, Anna Dreber, M. Johannesson, Susanne Leiberg, Sunhae Sul, Roberto A. Weber",2015,"In a growing body of research, psychologists have studied how physical expression influences psychological processes (see Riskind & Gotay, 1982; Stepper & Strack, 1993, for early contributions to this literature). A recent strand of literature within this field has focused on how physical postures that express power and dominance (power poses) influence psychological and physiological processes, as well as decision making (e.g., Carney, Cuddy, & Yap, 2010; Cesario & McDonald, 2013; Yap, Wazlawek, Lucas, Cuddy, & Carney, 2013). Carney et al. found that power posing affected levels of hormones such as testosterone and cortisol, financial risk taking, and self-reported feelings of power in a sample of 42 participants (randomly assigned to hold poses suggesting either high or low power). We conducted a conceptual replication study with a similar methodology as that employed by Carney et al. but using a substantially larger sample (N = 200) and a design in which the experimenter was blind to condition. Our statistical power to detect an effect of the magnitude reported by Carney et al. was more than 95% (see the Supplemental Material available online). In addition to the three outcome measures that Carney et al. used, we also studied two more behavioral tasks (risk taking in the loss domain and willingness to compete). Consistent with the findings of Carney et al., our results showed a significant effect of power posing on self-reported feelings of power. However, we found no significant effect of power posing on hormonal levels or in any of the three behavioral tasks."
"Behavioral Priming: It's All in the Mind, but Whose Mind?","S. Doyen, O. Klein, Cora-Lise Pichon, Axel Cleeremans",2012,"The perspective that behavior is often driven by unconscious determinants has become widespread in social psychology. Bargh, Chen, and Burrows' (1996) famous study, in which participants unwittingly exposed to the stereotype of age walked slower when exiting the laboratory, was instrumental in defining this perspective. Here, we present two experiments aimed at replicating the original study. Despite the use of automated timing methods and a larger sample, our first experiment failed to show priming. Our second experiment was aimed at manipulating the beliefs of the experimenters: Half were led to think that participants would walk slower when primed congruently, and the other half was led to expect the opposite. Strikingly, we obtained a walking speed effect, but only when experimenters believed participants would indeed walk slower. This suggests that both priming and experimenters' expectations are instrumental in explaining the walking speed effect. Further, debriefing was suggestive of awareness of the primes. We conclude that unconscious behavioral priming is real, while real, involves mechanisms different from those typically assumed to cause the effect."
Benefits of power posing: effects on dominance and social sensitivity,"Lukas Klaschinski, Konrad Schnabel, M. Schröder–Abé",2017,"The current study attempted to replicate results by Cuddy, Wilmuth, Yap, and Carney (2015) who showed that adopting high-power poses prior to a demanding job interview improved dominant behavior and overall hireability judgments. We extended this approach by adding social sensitivity as a second important dimension of social competences. We tested the following hypotheses: (1) Power posing increases behavioral dominance indicators (2) Power posing strengthens behavioral indicators of social sensitivity. We also attempted to replicate results by Cuddy and colleagues who demonstrated that the effects of the power-posing manipulation on hireability judgments were mediated by behavioral dominance indicators. Additionally, we hypothesized that hireability judgments are independently predicted by indicators of dominance and social sensitivity. Results failed to replicate the findings by Cuddy and colleagues (2015). Power posing had no significant main effects on behavioral indicators of dominance and social sensitivity. As expected, hireability judgments were independently predicted by dominance and social sensitivity."
BODIES IN CONTEXT: POWER POSES AS A COMPUTATION OF ACTION POSSIBILITY,"Joseph Cesario, Melissa M. McDonald",2013,"One perspective on embodiment proposes that bodily states exert direct, context-free effects on psychological states, as in the research on “power poses.” We propose instead that bodily states influence psychology by providing information about what actions are possible. If such an assessment is to be effective, however, it must consider the body as it exists in context, as context provides essential information in defining action possibility. In Study 1, expansive and constrictive poses influenced power only when held in an interpersonal context, which provides action-relevant meaning to these poses as dominance and submissiveness. In Study 2, poses had no effect on power when roles provided more important information about potential action (e.g., being frisked by police while holding an expansive pose resulted in less powerful behavior). If the function of cognition is to prepare the body for effective action, then cognitive processes cannot be insensitive to the current context."
Bodily feedback: expansive and upward posture facilitates the experience of positive affect,"Patty Van Cappellen, K. Ladd, Stephanie Cassidy, M. Edwards, B. Fredrickson",2022,"ABSTRACT Most emotion theories recognise the importance of the body in expressing and constructing emotions. Focusing beyond the face, the present research adds needed empirical data on the effect of static full body postures on positive/negative affect. In Studies 1 (N = 110) and 2 (N = 79), using a bodily feedback paradigm, we manipulated postures to test causal effects on affective and physiological responses to emotionally ambiguous music. Across both studies among U.S. participants, we find the strongest support for an effect of bodily postures that are expansive and oriented upward on positive affect. In addition, an expansive and upward pose also led to greater cardiac vagal reactivity but these changes in parasympathetic activity were not related to affective changes (Study 2). In line with embodied theories, these results provide additional support for the role of postural input in constructing affect. Discussion highlights the relevance of these findings for the study of religious practices during which the postures studied are often adopted."
Body of guilt: Using embodied cognition to mitigate backlash to reminders of personal & ingroup wrongdoing☆,"Katie N. Rotella, Jennifer A. Richeson",2013,"Abstract   Research demonstrates that people are sensitive to information that portrays either themselves or their ingroups in a negative light. Indeed, confronting individuals with their own past misdeeds or those committed by important ingroups can result in victim-blaming and refusals to apologize or make amends. Studies suggest that one reason why people demonstrate these backlash effects is that they immediately blunt the experience of guilt when confronted with either their own or group misdeeds from the past. The more individuals actually experience guilt, however, the more likely they are to respond to information about past wrongdoing with prosocial behavior (e.g., apologies, reparations, etc.). The present research sought to examine how subtle inductions of guilt shape responses to personal and group wrongdoing; namely, by manipulating individuals' body postures. Consistent with predictions, results suggest that embodiment-induced guilt reduces negative backlash and increases prosocial interpersonal and intergroup intentions."
Body Posture and Religious Attitudes,"Robert C. Fuller, Derek E. Montgomery",2015,"One hundred and twenty-seven college students were recruited for an experimental investigation of the effect of body posture on religious attitudes. Roughly half of the participants were placed in lower, contractive body postures while the other half were placed in higher, expansive body postures. After five minutes in these postures, all were asked to fill out a measure of religious attitudes. As expected, participants in the lower, contractive positions expressed more agreement with conventional religious beliefs than those in the higher, expansive positions."
