DOI,Title,Author,Journal,Publication Year,Abstract Note,LitmapsId,Cited By,References,PubMedId
10.1287/ORSC.2016.1082,A Laughing Matter: Patterns of Laughter and the Effectiveness of Working Dyads,"Lu Wang, Lorna Doucet, M. Waller, K. Sanders, Sybil Phillips",Organ. Sci.,2016,"Poor communication in teams has been found to result in disappointing team performance. Integrating research on team communication and laughter, we tested hypotheses about the relationship between working dyads’ patterns of laughter and their open communication and effectiveness. We examined two patterns of laughter: shared laughter occurs when both individuals laugh frequently in a dyad, and unshared laughter occurs when one individual in a dyad laughs frequently, but the other does not. Using data collected from 93 flight simulations in two aviation courses, we found that dyads engage in more open communication and are more effective when one member laughs frequently, but the other member does not. In addition, we found that the agreeableness of a dyad member reduces team effectiveness by increasing the likelihood of shared laughter. These results highlight the important role of laughter in team interactions and expand the growing literature on the role of emotions in teams.",23430400,7,150,
10.1080/00224540903365539,An evolutionary perspective on effective vs. ineffective pick-up lines.,"Corwin Senko, Viviana Fyffe",Journal of Social Psychology,2010,"This experiment examined women's impressions of men using various “pick-up” lines. Seventy women imagined being approached by a man using a flippant and flirtatious “pick-up” line, a direct complimentary line, or an innocuous line that masks his interest. His attractiveness varied too. They then considered him for long-term or short-term relationships. Matching a “good dad” hypothesis, they favored him for a long-term relationship if he used a direct or innocuous line instead of the flippant line, because the latter conveyed lower trustworthiness and intelligence. Matching a “good genes” hypothesis, they favored him for a short-term relationship if he was attractive instead of unattractive, regardless of his pick-up line, presumably because attractiveness signals heritable fitness. Limitations and theoretical implications are discussed.",1219546,15,45,21166329
10.1177/0146167209334786,An Evolutionary Perspective on Humor: Sexual Selection or Interest Indication?,"Norman P. Li, Vladas Griskevicius, Kristina M. Durante, P. Jonason, Derek J. Pasisz, Katherine Aumer",Personality & social psychology bulletin,2009,"Are people who are funny more attractive? Or does being attractive lead people to be seen as funnier? The answer may depend on the underlying evolutionary function of humor. While humor has been proposed to signal “good genes,” the authors propose that humor also functions to indicate interest in social relationships—in initiating new relationships and in monitoring existing ones. Consistent with this interest indicator model, across three studies both sexes were more likely to initiate humor and to respond more positively and consider the other person to be funny when initially attracted to that person. The findings support that humor dynamics— and not just humor displays—influence romantic chemistry for both men and women, suggesting that humor can ultimately function as a strategy to initiate and monitor social relationships.",165427358,102,45,19407005
10.1111/J.1475-6811.2007.00183.X,An observational study of humor use while resolving conflict in dating couples,"L. Campbell, R. Martin, Jennie R. Ward",(missing journal),2008,"This research focused on whether affiliative and aggressive humor use was associated with relationship satisfaction and with greater perceived closeness, problem resolution, and emotional distress following a conflict discussion task. Ninety-eight dating couples from a large Texas University participated in this research. Both partners independently completed questionnaires about their relationship perceptions, participated in a videotaped conflict resolution task, and then answered some additional questions. The results revealed that individuals whose partners used more affiliative and less aggressive humor during the discussion were more satisfied with their relationship and reported an increase in perceived closeness and better problem resolution following the discussion. These results highlight the importance of both positive and negative forms of humor in the regulation of close relationships.",122911643,102,35,
10.1016/J.CHB.2021.107039,Assortative (online) dating: Insights into partner choice from an experimental dating app,"Giulia Ranzini, Judith E. Rosenbaum, Joshua M. Tybur",(missing journal),2022,"In Western nations, the simultaneous increases in interracial relationships and the use of dating apps such as Tinder have raised questions regarding the influence of dating apps on partner choice. This study examines whether principles of assortative mating – people's tendency to select partners similar to them – apply to dating apps, or whether the reduced cue environment used on these apps leads users to choose more heterogeneous partners. Young (age <28) Dutch participants ( N = 522) used a mock dating app in which potential partners were either White or non-White, relatively low or high educated, and possessed an ethnically Dutch or non-Dutch name. Results pointed to educational assortativity for higher-educated participants and indicated that profile pictures, rather than names, influenced the choice of a White target for participants with a Dutch family background. • Attractiveness is most important factor in partner choice on a dating app. • Users with Dutch ancestry are more likely to pick profiles of White users, but not profiles of users with a Dutch-sounding name. • Higher educated users are more likely to pick profiles mentioning a university. • Overall, we find some patterns of assortative mating on a dating app.",20857034,10,47,
10.5964/EJOP.V6I3.210,"Bad Humor, Bad Marriage: Humor Styles in Divorced and Married Couples","Vassilis Saroglou, C. Lacour, Marie-Eve Demeure",(missing journal),2010,"Humor has been found to play a key role in close relationships, including marriage. The objective of the present work was to investigate the role of specific humor styles, i.e. affiliative, self-enhancing, aggressive, earthy, and self-defeating, with regard to (a) relationship quality among married and divorced people and (b) divorced versus married status. We compared men and women from 98 married and 48 divorced couples (total N = 292) who evaluated their humor styles, anxiety and avoidance in attachment, marital satisfaction, and (ex-)spouse’s humor styles. Constructive humor (self-enhancing and/or affiliative), especially among men, was related to increased relationship satisfaction and to non-divorced status. Self-defeating humor, especially among women, predicted marital satisfaction but also divorce. Use of antisocial humor (aggressive and earthy), especially by men, predicted divorce and was related to low (retrospective) relationship quality among divorced couples. Humor styles were unique predictors of divorce beyond the impact of insecure attachment. Finally, partner similarity in the high or low use of self-defeating humor and the (transgressing social norms) earthy humor was observed in both the married and divorced, but the latter were dissimilar in the high or low use of humor styles implying positive or negative quality in interpersonal relations. Partners’ humor styles provide unique and gender-specific information to our understanding of factors influencing marital stability and dissolution.",169434502,48,62,
10.1007/S10902-019-00185-9,"Benevolent and Corrective Humor, Life Satisfaction, and Broad Humor Dimensions: Extending the Nomological Network of the BenCor Across 25 Countries","Sonja Heintz, Willibald Ruch, Simge Aykan, Ingrid Brdar, Dorota Brzozowska, Hugo Carretero-Dios, Hsueh Chih Chen, Władysław Chłopicki, Incheol Choi, Alberto Dionigi, Róbert Ďurka, Thomas E. Ford, Angelika Güsewell, Robert B. Isler, Alyona Ivanova, Liisi Laineste, Petra Lajčiaková, Chloe Lau, Minha Lee, Stanca Măda, Charles Martin-Krumm, Andrés Mendiburo-Seguel, Ifu Migiwa, Nailya Mustafi, Atsushi Oshio, Tracey Platt, René T. Proyer, Angélica Quiroga-Garza, TamilSelvan Ramis, Răzvan Săftoiu, Donald H. Saklofske, Olga V. Shcherbakova, Alena Slezáčková, Anastassios Stalikas, Ieva Stokenberga, Jorge Torres-Marín, Peter S.O. Wong",(missing journal),2020,"Benevolent and corrective humor are two comic styles that have been related to virtue, morality, and character strengths. A previous study also supported the viability of measuring these two styles with the BenCor in 22 countries. The present study extends the previous one by including further countries (a total of 25 countries in 29 samples with N = 7813), by testing the revised BenCor (BenCor-R), and by adding two criterion measures to assess life satisfaction and four broad humor dimensions (social fun/entertaining humor, mockery, humor ineptness, and cognitive/reflective humor). As expected, the BenCor-R showed mostly promising psychometric properties (internal consistency and factorial validity). Consistent with previous studies, benevolent humor correlated positively with life satisfaction in most countries, while corrective humor was uncorrelated with life satisfaction. These relationships were only slightly changed when controlling for social fun/entertaining humor and mockery, respectively. Benevolent humor was mostly positively associated with cognitive/reflective humor, followed by social fun/entertaining humor and mockery. Corrective humor was mostly positively associated with mockery, followed by cognitive/reflective and social fun/entertaining humor, although these relationships differed between the countries. Overall, the present study supports the viability of benevolent and corrective humor, which has yet received insufficient attention in psychology, for cross-cultural investigations and applications of humor, well-being, and morality.",204454287,16,56,
10.3389/FPSYG.2018.00006,"Broadening Humor: Comic Styles Differentially Tap into Temperament, Character, and Ability","W. Ruch, Sonja Heintz, T. Platt, Lisa Wagner, R. Proyer",Front. Psychol.,2018,"The present study introduces eight comic styles (i.e., fun, humor, nonsense, wit, irony, satire, sarcasm, and cynicism) and examines the validity of a set of 48 marker items for their assessment, the Comic Style Markers (CSM). These styles were originally developed to describe literary work and are used here to describe individual differences. Study 1 examines whether the eight styles can be distinguished empirically, in self- and other-reports, and in two languages. In different samples of altogether more than 1500 adult participants, the CSM was developed and evaluated with respect to internal consistency, homogeneity, test–retest reliability, factorial validity, and construct and criterion validity. Internal consistency was sufficiently high, and the median test-retest reliability over a period of 1–2 weeks was 0.86 (N = 148). Exploratory and confirmatory factor analyses showed that the eight styles could be distinguished in both English- (N = 303) and German-speaking samples (N = 1018 and 368). Comparing self- and other-reports (N = 210) supported both convergent and discriminant validity. The intercorrelations among the eight scales ranged from close to zero (between humor and sarcasm/cynicism) to large and positive (between sarcasm and cynicism). Consequently, second-order factor analyses revealed either two bipolar factors (based on ipsative data) or three unipolar factors (based on normative data). Study 2 related the CSM to instruments measuring personality (N = 999), intelligence (N = 214), and character strengths (N = 252), showing that (a) wit was the only style correlated with (verbal) intelligence, (b) fun was related to indicators of vitality and extraversion, (c) humor was related to character strengths of the heart, and (d) comic styles related to mock/ridicule (i.e., sarcasm, cynicism, but also irony) correlated negatively with character strengths of the virtues temperance, transcendence, and humanity. By contrast, satire had a moral goodness that was lacking in sarcasm and cynicism. Most importantly, the two studies revealed that humor might be related to a variety of character strengths depending on the comic style utilized, and that more styles may be distinguished than has been done in the past. The CSM is recommended for future explorations and refinements of comic styles.",20882021,99,30,29403416
10.1016/J.PAID.2019.109664,Can I have your number? Men's perceived effectiveness of pick-up lines used by women,"Maryanne L. Fisher, Sarah Coughlin, T. Joel Wade",Personality and Individual Differences,2020,"Abstract   We examined which pick-up lines that women may use on men, in the context of dating, are the most effective. Effectiveness was defined as success in securing a phone number or agreeing to meet again. We tested to determine which type of line (direct, innocuous, or flippant) was rated as most effective when attractiveness and perceived promiscuity of the women were manipulated. We predicted that direct pick-up lines would be the most effective when trying to pick-up men for the purpose of dating. We also predicted that men would rate the pick-up lines used by women rated high on attractiveness and promiscuity as being more effective than the pick-up lines used by those rated low on both characteristics. Results indicate that direct pick-up lines are preferred over flippant or innocuous pick-up lines, with the innocuous being the least preferred. Further, regardless of the line that is used, once a woman has been viewed as attractive by men, she is rated positively. This study provides insight into the effectiveness of women's tactics for soliciting dating attention.",51492917,3,27,
10.1177/147470490800600303,"Dissing Oneself versus Dissing Rivals: Effects of Status, Personality, and Sex on the Short-Term and Long-Term Attractiveness of Self-Deprecating and Other-Deprecating Humor","Gil Greengross, G. Miller",(missing journal),2008,"This study explores the adaptive functions and design features of self-and other-deprecating humor. Sixty-four female and 32 male college students participated in a two-part study. In the first part, we examined the relationships among participant demographics, personality traits, and preferences for producing different types of humor. Men report using more other-deprecating humor than women do, and the use of other-deprecating humor decreases with age for both sexes. In the second part of the study, each participant listened to tape recordings of opposite-sex people who were described as having different levels of status, and who produced different types of humor; then participants rated each person's attractiveness as a potential short-term and long-term mate. Humor type and presenter status had no effects on short-term attractiveness, but self-deprecating humor by high-status presenters (but not low-status presenters) increased long-term attractiveness for both sexes. These results are discussed in the light of sexual selection theory and costly signaling theory.",114920621,120,46,
